id,original_title,original_language,genres,budget,revenue,runtime,release_date,production_companies_list,production_countries_list,vote_average,keywords,made_profit
19995,Avatar,en,Action,237000000,2787965087,162.0,2009,Ingenious Film Partners,United States of America,7.2,"culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d",1
285,Pirates of the Caribbean: At World's End,en,Adventure,300000000,961000000,169.0,2007,Walt Disney Pictures,United States of America,6.9,"ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger",1
206647,Spectre,en,Action,245000000,880674609,148.0,2015,Columbia Pictures,United Kingdom,6.3,"spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom",1
49026,The Dark Knight Rises,en,Action,250000000,1084939099,165.0,2012,Legendary Pictures,United States of America,7.6,"dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman",1
49529,John Carter,en,Action,260000000,284139100,132.0,2012,Walt Disney Pictures,United States of America,6.1,"based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d",1
559,Spider-Man 3,en,Fantasy,258000000,890871626,139.0,2007,Columbia Pictures,United States of America,5.9,"dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge",1
38757,Tangled,en,Animation,260000000,591794936,100.0,2010,Walt Disney Pictures,United States of America,7.4,"hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick",1
99861,Avengers: Age of Ultron,en,Action,280000000,1405403694,141.0,2015,Marvel Studios,United States of America,7.3,"marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d",1
767,Harry Potter and the Half-Blood Prince,en,Adventure,250000000,933959197,153.0,2009,Warner Bros.,United Kingdom,7.4,"witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",1
209112,Batman v Superman: Dawn of Justice,en,Action,250000000,873260194,151.0,2016,DC Comics,United States of America,5.7,"dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe",1
1452,Superman Returns,en,Adventure,270000000,391081192,154.0,2006,DC Comics,United States of America,5.4,"saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor",1
10764,Quantum of Solace,en,Adventure,200000000,586090727,106.0,2008,Eon Productions,United Kingdom,6.1,"killing, undercover, secret agent, british secret service",1
58,Pirates of the Caribbean: Dead Man's Chest,en,Adventure,200000000,1065659812,151.0,2006,Walt Disney Pictures,Jamaica,7.0,"witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger",1
57201,The Lone Ranger,en,Action,255000000,89289910,149.0,2013,Walt Disney Pictures,United States of America,5.9,"texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto",0
49521,Man of Steel,en,Action,225000000,662845518,143.0,2013,Legendary Pictures,United Kingdom,6.5,"saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe",1
2454,The Chronicles of Narnia: Prince Caspian,en,Adventure,225000000,419651413,150.0,2008,Walt Disney,Czech Republic,6.3,"based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world",1
24428,The Avengers,en,Science Fiction,220000000,1519557910,143.0,2012,Paramount Pictures,United States of America,7.4,"new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",1
1865,Pirates of the Caribbean: On Stranger Tides,en,Adventure,380000000,1045713802,136.0,2011,Walt Disney Pictures,United States of America,6.4,"sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d",1
41154,Men in Black 3,en,Action,225000000,624026776,106.0,2012,Amblin Entertainment,United States of America,6.2,"time travel, time machine, alien, fictional government agency, seeing the future, changing history",1
